Name,Folder,Steps,Expected,Id
Фильтр «Контрагент» на «Контакты и чаты»,"""[Story] - Фильтр «Контрагент» в «Контакты и чаты» и CRM""",Пользователь открывает **«Клиенты → Контакты и чаты»**,в панели фильтров доступен фильтр **«Контрагент»**,tc-5284750-1
Фильтр «Контрагент» на «CRM»,"""[Story] - Фильтр «Контрагент» в «Контакты и чаты» и CRM""",Пользователь открывает страницу **«CRM»**,в панели фильтров доступен фильтр **«Контрагент»**,tc-5284750-2
Выбор одного контрагента,"""[Story] - Фильтр «Контрагент» в «Контакты и чаты» и CRM""",Пользователь открывает фильтр **«Контрагент»** на «Контакты и чаты» или «CRM»,можно выбрать **одного** контрагента,tc-5284750-3
Мультивыбор контрагентов,"""[Story] - Фильтр «Контрагент» в «Контакты и чаты» и CRM""",Пользователь открывает фильтр **«Контрагент»**,можно выбрать **нескольких** контрагентов одновременно,tc-5284750-4
Фильтрация контактов по одному контрагенту,"""[Story] - Фильтр «Контрагент» в «Контакты и чаты» и CRM""","В воркспейсе есть контрагент «ООО Ромашка» и три контакта: два связаны с «ООО Ромашка», один без контрагента; пользователь на «Контакты и чаты» выбирает в фильтре «Контрагент» **«ООО Ромашка»**","в списке остаются **два** контакта, связанных с «ООО Ромашка»; контакт **без контрагента не отображается**",tc-5284750-5
Фильтрация лидов по нескольким контрагентам,"""[Story] - Фильтр «Контрагент» в «Контакты и чаты» и CRM""","На канбане CRM есть лиды, связанные с «ООО Ромашка», «ИП Иванов» и без контрагента; пользователь в фильтре «Контрагент» выбирает **«ООО Ромашка»** и **«ИП Иванов»**","на канбане видны лиды, связанные с «ООО Ромашка» **или** «ИП Иванов»; лиды **без контрагента скрыты**",tc-5284750-6
Сброс фильтра на «Контакты и чаты»,"""[Story] - Фильтр «Контрагент» в «Контакты и чаты» и CRM""",На «Контакты и чаты» активен фильтр «Контрагент» с выбранным «ООО Ромашка»; пользователь **очищает** выбор в фильтре «Контрагент»,"отображаются **все** контакты, доступные пользователю на странице, **как до** применения фильтра",tc-5284750-7
Сброс фильтра на «CRM»,"""[Story] - Фильтр «Контрагент» в «Контакты и чаты» и CRM""",На «CRM» активен фильтр «Контрагент» с одним или несколькими выбранными контрагентами; пользователь **очищает** выбор в фильтре «Контрагент»,"на канбане отображаются **все** лиды, доступные пользователю, **как до** применения фильтра",tc-5284750-8
Сочетание фильтров на «Контакты и чаты»,"""[Story] - Фильтр «Контрагент» в «Контакты и чаты» и CRM""","На «Контакты и чаты» одновременно активны фильтр «Контрагент», **другие** фильтры страницы и **поиск**","в списке остаются только контакты, удовлетворяющие **всем** активным условиям, включая связь хотя бы с одним выбранным контрагентом",tc-5284750-9
Сочетание фильтров на «CRM»,"""[Story] - Фильтр «Контрагент» в «Контакты и чаты» и CRM""","На «CRM» одновременно активны фильтр «Контрагент», **другие** фильтры панели и **поиск**","на канбане остаются только лиды, удовлетворяющие **всем** активным условиям, включая связь хотя бы с одним выбранным контрагентом",tc-5284750-10
Контакт с несколькими контрагентами,"""[Story] - Фильтр «Контрагент» в «Контакты и чаты» и CRM""",Контакт связан **с несколькими** контрагентами; в фильтре «Контрагент» выбран **один** из них,контакт **отображается** в списке «Контакты и чаты»,tc-5284750-11
Лид с несколькими контрагентами,"""[Story] - Фильтр «Контрагент» в «Контакты и чаты» и CRM""",Лид связан **с несколькими** контрагентами; в фильтре «Контрагент» выбран **один** из них,лид **отображается** на канбане CRM,tc-5284750-12
