Name,Folder,Steps,Expected,Id
Виджет на дашборде отображается,"""[Story] — Виджет «Ждут моего ответа» на личном дашборде""",Открыть личный дашборд Web под текущим сотрудником,отображается виджет с заголовком «Ждут моего ответа»,tc-5204373-1
Пустое состояние виджета,"""[Story] — Виджет «Ждут моего ответа» на личном дашборде""","При отсутствии сообщений, ожидающих ответа текущего пользователя, открыть личный дашборд",виджет показывает пустое состояние «Сейчас никто не ждёт вашего ответа»,tc-5204373-2
Персональный mention у упомянутого,"""[Story] — Виджет «Ждут моего ответа» на личном дашборде""",Пользователь A упомянут персонально через `@mention` в чате задачи; пользователь B не упомянут; оба открывают личный дашборд,сообщение есть в виджете A,tc-5204373-26
Персональный mention отсутствует у неупомянутого,"""[Story] — Виджет «Ждут моего ответа» на личном дашборде""",Пользователь A упомянут персонально через `@mention` в чате задачи; пользователь B не упомянут; оба открывают личный дашборд,сообщение отсутствует в виджете B,tc-5204373-27
Mention подразделения учитывается,"""[Story] — Виджет «Ждут моего ответа» на личном дашборде""","Пользователь состоит в подразделении, которое упомянули через `@mention` в сообщении",сообщение появляется в виджете этого пользователя,tc-5204373-4
Reply на пользователя учитывается,"""[Story] — Виджет «Ждут моего ответа» на личном дашборде""",На сообщение текущего пользователя сделан Reply (в том числе в записи справочника),Reply появляется в виджете текущего пользователя,tc-5204373-5
Сообщение в беседе 1:1,"""[Story] — Виджет «Ждут моего ответа» на личном дашборде""",В беседе 1:1 с текущим пользователем приходит новое сообщение без `@mention`,сообщение появляется в виджете,tc-5204373-6
Входящее клиента по контакту,"""[Story] — Виджет «Ждут моего ответа» на личном дашборде""",Текущий пользователь — ответственный за контакт; клиент отправляет входящее без `@mention` и без Reply,сообщение появляется в виджете ответственного,tc-5204373-7
Входящее клиента по лиду,"""[Story] — Виджет «Ждут моего ответа» на личном дашборде""",Текущий пользователь — ответственный за лид; клиент отправляет входящее без `@mention` и без Reply,сообщение появляется в виджете ответственного,tc-5204373-8
Неответственный без триггеров,"""[Story] — Виджет «Ждут моего ответа» на личном дашборде""",Текущий пользователь не ответственный за контакт или лид; клиент отправляет обычное сообщение без персонального `@mention` и без Reply на сообщение этого пользователя,сообщение не появляется в его виджете,tc-5204373-9
Mention неответственного,"""[Story] — Виджет «Ждут моего ответа» на личном дашборде""",Текущий пользователь не ответственный за контакт или лид; его персонально упомянули через `@mention` в этой сущности,сообщение появляется в его виджете,tc-5204373-10
Reply неответственному,"""[Story] — Виджет «Ждут моего ответа» на личном дашборде""",Текущий пользователь не ответственный за контакт или лид; на его сообщение в этой сущности сделали Reply,Reply появляется в его виджете,tc-5204373-11
Бейдж Contact без тикета и лида,"""[Story] — Виджет «Ждут моего ответа» на личном дашборде""",Клиент пишет во входящий чат контакта; у контакта нет активного тикета и нет активного лида; открыть виджет ответственного,бейдж Contact,tc-5204373-28
Элемент относится к контакту без тикета и лида,"""[Story] — Виджет «Ждут моего ответа» на личном дашборде""",Клиент пишет во входящий чат контакта; у контакта нет активного тикета и нет активного лида; открыть виджет ответственного,элемент относится к контакту,tc-5204373-29
Бейдж Ticket при активном тикете,"""[Story] — Виджет «Ждут моего ответа» на личном дашборде""",Клиент пишет во входящий чат контакта; есть активный тикет (активного лида нет); открыть виджет ответственного,бейдж Ticket,tc-5204373-30
Бейдж Lead при активном лиде,"""[Story] — Виджет «Ждут моего ответа» на личном дашборде""","Клиент пишет во входящий чат контакта; активного тикета нет, есть активный лид; открыть виджет ответственного",бейдж Lead,tc-5204373-31
Бейдж Ticket при тикете и лиде,"""[Story] — Виджет «Ждут моего ответа» на личном дашборде""",Клиент пишет во входящий чат контакта; одновременно есть активный тикет и активный лид; открыть виджет ответственного,бейдж Ticket (не Lead и не Contact),tc-5204373-32
Несколько лидов одному ответственному,"""[Story] — Виджет «Ждут моего ответа» на личном дашборде""",У контакта несколько активных лидов с одним и тем же ответственным (контакт и лиды); клиент пишет внешнее сообщение в чат контакта,в виджете этого ответственного появляются отдельные элементы по каждому такому лиду,tc-5204373-33
Ивент у ответственного за контакт,"""[Story] — Виджет «Ждут моего ответа» на личном дашборде""",Ответственный за контакт и ответственные за связанные активные лиды разные; клиент пишет внешнее сообщение в чат контакта,элемент появляется у ответственного за контакт,tc-5204373-34
