Name,Folder,Steps,Expected,Id
Карточка Яндекс Диска у оунера,"""[Story] - Интеграция с Яндекс диском""",Оунер воркспейса открывает «Настройки → Интеграции → Интеграции воркспейса»,в блоке есть карточка Яндекс Диска,tc-5373264-1
Подключение Яндекс Диска,"""[Story] - Интеграция с Яндекс диском""",Оунер воркспейса; диск воркспейса не подключён; на карточке Яндекс Диска нажимает подключить и завершает OAuth,Яндекс Диск подключён,tc-5373264-2
Аккаунт на карточке после подключения,"""[Story] - Интеграция с Яндекс диском""",Оунер воркспейса; Яндекс Диск подключён,на карточке Яндекс Диска показан подключённый аккаунт,tc-5373264-3
Загрузка файла в Яндекс Диск,"""[Story] - Интеграция с Яндекс диском""",Оунер воркспейса; Яндекс Диск подключён; загружает файл через UI вложения/загрузки,файл загружается в подключённый Яндекс Диск,tc-5373264-4
Подтверждение перед отключением,"""[Story] - Интеграция с Яндекс диском""",Оунер воркспейса; Яндекс Диск подключён; на карточке запускает отключение,показано подтверждение отключения,tc-5373264-5
Отключение снимает интеграцию,"""[Story] - Интеграция с Яндекс диском""",Оунер воркспейса; Яндекс Диск подключён; подтверждает отключение,интеграция Яндекс Диска снята,tc-5373264-6
Не-оунер не подключает Яндекс Диск,"""[Story] - Интеграция с Яндекс диском""",Сотрудник без роли оунера открывает «Настройки → Интеграции»,блок «Интеграции воркспейса» недоступен для подключения Яндекс Диска,tc-5373264-7
Без дисков можно подключить Google,"""[Story] - Интеграция с Яндекс диском""","Оунер воркспейса; ни Google Диск, ни Яндекс Диск не подключены",доступно подключение Google Диска,tc-5373264-8
Без дисков можно подключить Яндекс,"""[Story] - Интеграция с Яндекс диском""","Оунер воркспейса; ни Google Диск, ни Яндекс Диск не подключены",доступно подключение Яндекс Диска,tc-5373264-9
При Google нельзя подключить Яндекс,"""[Story] - Интеграция с Яндекс диском""",Оунер воркспейса; Google Диск уже подключён,подключить Яндекс Диск нельзя,tc-5373264-10
При Яндекс нельзя подключить Google,"""[Story] - Интеграция с Яндекс диском""",Оунер воркспейса; Яндекс Диск уже подключён,подключить Google Диск нельзя,tc-5373264-11
Попытка Яндекс не снимает Google,"""[Story] - Интеграция с Яндекс диском""",Оунер воркспейса; Google Диск уже подключён; пытается подключить Яндекс Диск,Google Диск остаётся подключённым (первый диск автоматически не отключается),tc-5373264-12
Попытка Google не снимает Яндекс,"""[Story] - Интеграция с Яндекс диском""",Оунер воркспейса; Яндекс Диск уже подключён; пытается подключить Google Диск,Яндекс Диск остаётся подключённым (первый диск автоматически не отключается),tc-5373264-13
Состояние без диска после отключения,"""[Story] - Интеграция с Яндекс диском""",Оунер воркспейса; после подтверждённого отключения Яндекс Диска воркспейс без диска воркспейса,поведение как сейчас в состоянии без подключённого диска воркспейса,tc-5373264-14
