Name,Folder,Steps,Expected,Id
Пункт «Лид» в меню тикета,Создание лида из тикета,Открыть тикет в статусе «В работе» или «Ожидает ответа»,в меню кнопки «Добавить» виден пункт «Лид»,tc-4985422-1
Открытие дровера по «Лид»,Создание лида из тикета,Нажать «Лид» в меню «Добавить» тикета,открывается дровер создания лида,tc-4985422-2
Воронка видна из тикета,Создание лида из тикета,Открыть дровер создания лида из тикета,поле «Воронка» отображается,tc-4985422-3
Воронка скрыта из CRM,Создание лида из тикета,Открыть дровер создания лида из раздела CRM (кнопка «Добавить» в шапке CRM),поле «Воронка» не отображается,tc-4985422-4
Предзаполнение названия,Создание лида из тикета,Создать лид из тикета с заполненными данными,поле «Название» предзаполнено из тикета,tc-4985422-5
Предзаполнение описания,Создание лида из тикета,Создать лид из тикета с заполненными данными,поле «Описание» предзаполнено из тикета,tc-4985422-6
Предзаполнение контакта,Создание лида из тикета,Создать лид из тикета с привязанным контактом,поле «Контакт» предзаполнено контактом тикета,tc-4985422-7
Предзаполнение ответственного,Создание лида из тикета,Создать лид из тикета с назначенным ответственным,поле «Ответственный» предзаполнено ответственным тикета,tc-4985422-8
Предзаполнение меток,Создание лида из тикета,Создать лид из тикета с метками,поле «Метки» предзаполнено метками тикета,tc-4985422-9
Воронка обязательна,Создание лида из тикета,В дровере создания лида из тикета оставить поле «Воронка» пустым и нажать «Создать»,создание не завершается; отображается ошибка обязательного поля,tc-4985422-10
Список воронок воркспейса,Создание лида из тикета,Открыть выпадающий список поля «Воронка» в дровере из тикета,в списке отображаются воронки текущего воркспейса,tc-4985422-11
Успешное создание лида,Создание лида из тикета,Заполнить обязательные поля в дровере из тикета и нажать «Создать»,лид создан; открывается карточка созданного лида,tc-4985422-12
