Name,Folder,Steps,Expected,Id
Google Event виден в сетке,"""Календарь встреч: отображать события Google Calendar (не только задачи-встречи)""",У сотрудника с активной синхронизацией Google Calendar в подключённом аккаунте есть событие типа Event; открыть «Календарь встреч»,"в сетке видно событие типа Event, а не только задачи-встречи Upservice",tc-5229812-12
Out of office виден в сетке,"""Календарь встреч: отображать события Google Calendar (не только задачи-встречи)""",У сотрудника с активной синхронизацией Google Calendar в подключённом аккаунте есть событие типа Out of office; открыть «Календарь встреч»,"в сетке видно событие типа Out of office, а не только задачи-встречи Upservice",tc-5229812-13
Focus time виден в сетке,"""Календарь встреч: отображать события Google Calendar (не только задачи-встречи)""",У сотрудника с активной синхронизацией Google Calendar в подключённом аккаунте есть событие типа Focus time; открыть «Календарь встреч»,"в сетке видно событие типа Focus time, а не только задачи-встречи Upservice",tc-5229812-14
Working location виден в сетке,"""Календарь встреч: отображать события Google Calendar (не только задачи-встречи)""",У сотрудника с активной синхронизацией Google Calendar в подключённом аккаунте есть событие типа Working location; открыть «Календарь встреч»,"в сетке видно событие типа Working location, а не только задачи-встречи Upservice",tc-5229812-15
Google Task виден в сетке,"""Календарь встреч: отображать события Google Calendar (не только задачи-встречи)""",У сотрудника с активной синхронизацией Google Calendar в подключённом аккаунте есть событие типа Google Task; открыть «Календарь встреч»,"в сетке видно событие типа Google Task, а не только задачи-встречи Upservice",tc-5229812-16
Appointment schedule виден в сетке,"""Календарь встреч: отображать события Google Calendar (не только задачи-встречи)""",У сотрудника с активной синхронизацией Google Calendar в подключённом аккаунте есть событие типа Appointment schedule; открыть «Календарь встреч»,"в сетке видно событие типа Appointment schedule, а не только задачи-встречи Upservice",tc-5229812-17
События из дополнительных календарей,"""Календарь встреч: отображать события Google Calendar (не только задачи-встречи)""",В подключённом Google-аккаунте есть события в смерженном/дополнительном календаре владельца,эти события отображаются в сетке календаря встреч.,tc-5229812-2
Google-события в представлении «День»,"""Календарь встреч: отображать события Google Calendar (не только задачи-встречи)""",У сотрудника с активной синхронизацией Google Calendar в сетке «Календаря встреч» есть Google-события из scope; переключить представление на «День»,Google-события из scope остаются видимы в сетке,tc-5229812-18
Google-события в представлении «Неделя»,"""Календарь встреч: отображать события Google Calendar (не только задачи-встречи)""",У сотрудника с активной синхронизацией Google Calendar в сетке «Календаря встреч» есть Google-события из scope; переключить представление на «Неделя»,Google-события из scope остаются видимы в сетке,tc-5229812-19
Google-события в представлении «Месяц»,"""Календарь встреч: отображать события Google Calendar (не только задачи-встречи)""",У сотрудника с активной синхронизацией Google Calendar в сетке «Календаря встреч» есть Google-события из scope; переключить представление на «Месяц»,Google-события из scope остаются видимы в сетке,tc-5229812-20
