Name,Folder,Steps,Expected,Id
Сумма по этапу на канбане,"""[Story] - Отображение суммы стоимости Лидов по этапам и итого по воронке""",Пользователь открывает CRM-воронку в режиме канбан,под названием каждого этапа отображается сумма поля Сумма лидов на этом статусе в выбранной валюте,tc-4916809-1
Сумма 2560 на этапе «Новое обращение»,"""[Story] - Отображение суммы стоимости Лидов по этапам и итого по воронке""",На этапе «Новое обращение» два лида с суммами 1000 ₽ и 1560 ₽; пользователь открывает канбан,под названием этапа отображается сумма 2560 с символом или кодом валюты,tc-4916809-2
Строка итого по воронке,"""[Story] - Отображение суммы стоимости Лидов по этапам и итого по воронке""",Пользователь открывает CRM-воронку в режиме канбан,"в верхней части отображается строка «Найдено N лидов на сумму X <символ или код валюты>», где N — число лидов воронки, X — сумма поля Сумма по всем лидам воронки в выбранной валюте",tc-4916809-3
Итого 5 лидов на 10 000 ₽,"""[Story] - Отображение суммы стоимости Лидов по этапам и итого по воронке""",В воронке 5 лидов на общую сумму 10 000 ₽; пользователь открывает канбан без фильтров,вверху отображается «Найдено 5 лидов на сумму 10 000 ₽» (или эквивалент в выбранной валюте),tc-4916809-4
Пересчёт сумм при фильтре,"""[Story] - Отображение суммы стоимости Лидов по этапам и итого по воронке""","Пользователь применяет фильтр, отбирающий подмножество лидов",суммы по этапам и итого по воронке пересчитываются только по отфильтрованным лидам,tc-4916809-5
Список «Валюта» с поиском,"""[Story] - Отображение суммы стоимости Лидов по этапам и итого по воронке""",Пользователь открывает CRM-воронку в режиме канбан,доступен выпадающий список «Валюта» с поиском по названию валюты,tc-4916809-6
Топ валют в начале списка,"""[Story] - Отображение суммы стоимости Лидов по этапам и итого по воронке""",Пользователь открывает список «Валюта»,"в начале списка идут валюты RUB, USD, EUR, CNY, KZT, BYN, ZAR, MYR, UZS, AMD, PHP, KES, затем остальные из общего справочника (~165 валют)",tc-4916809-7
Валюта по умолчанию USD,"""[Story] - Отображение суммы стоимости Лидов по этапам и итого по воронке""",Пользователь впервые открывает канбан (нет сохранённого выбора),по умолчанию выбрана USD; суммы отображаются в USD,tc-4916809-8
Пересчёт при выборе EUR,"""[Story] - Отображение суммы стоимости Лидов по этапам и итого по воронке""",Пользователь выбирает валюту EUR в списке «Валюта»,суммы по этапам и итого пересчитываются в EUR,tc-4916809-9
Выбор валюты per-user,"""[Story] - Отображение суммы стоимости Лидов по этапам и итого по воронке""",Пользователь A выбирает EUR; пользователь B в том же воркспейсе открывает канбан,у пользователя B остаётся его собственный выбор валюты (не подставляется EUR пользователя A),tc-4916809-10
Сохранение выбора RUB,"""[Story] - Отображение суммы стоимости Лидов по этапам и итого по воронке""","Пользователь выбирает RUB, обновляет страницу и снова открывает канбан",выбрана RUB,tc-4916809-11
Курс на текущую дату для активного этапа,"""[Story] - Отображение суммы стоимости Лидов по этапам и итого по воронке""",Лид на этапе группы new или in progress с суммой в USD; пользователь выбирает отображение в RUB,сумма конвертируется по курсу на текущую дату,tc-4916809-12
Курс на дату перемещения для завершённого этапа,"""[Story] - Отображение суммы стоимости Лидов по этапам и итого по воронке""","Лид на завершённом этапе с суммой в USD, перемещён на этот этап вчера; пользователь выбирает RUB",сумма конвертируется по курсу на дату перемещения на завершённый этап,tc-4916809-13
Смена курса на следующий день для активного лида,"""[Story] - Отображение суммы стоимости Лидов по этапам и итого по воронке""",Лид в USD на активном этапе; пользователь выбирает RUB сегодня и повторно открывает канбан завтра без смены этапа,сумма лида пересчитывается по курсу завтрашней даты,tc-4916809-14
Конвертация USD в RUB,"""[Story] - Отображение суммы стоимости Лидов по этапам и итого по воронке""",На канбане отображаются суммы лидов в USD; пользователь выбирает RUB,суммы соответствуют курсу ExchangeRate-API для пары USD → RUB,tc-4916809-15
Конвертация USD в BYN,"""[Story] - Отображение суммы стоимости Лидов по этапам и итого по воронке""",На канбане отображаются суммы лидов в USD; пользователь выбирает BYN,суммы соответствуют курсу ExchangeRate-API для пары USD → BYN,tc-4916809-16
Конвертация USD в EUR,"""[Story] - Отображение суммы стоимости Лидов по этапам и итого по воронке""",На канбане отображаются суммы лидов в USD; пользователь выбирает EUR,суммы соответствуют курсу ExchangeRate-API для пары USD → EUR,tc-4916809-17
Конвертация BYN в RUB,"""[Story] - Отображение суммы стоимости Лидов по этапам и итого по воронке""",На канбане отображаются суммы лидов в BYN; пользователь выбирает RUB,суммы соответствуют курсу ExchangeRate-API для пары BYN → RUB,tc-4916809-18
Конвертация BYN в USD,"""[Story] - Отображение суммы стоимости Лидов по этапам и итого по воронке""",На канбане отображаются суммы лидов в BYN; пользователь выбирает USD,суммы соответствуют курсу ExchangeRate-API для пары BYN → USD,tc-4916809-19
