Name,Folder,Steps,Expected,Id
Статус становится MQL,"""[Story] - Автопереход статуса воронки на MQL при скоринге""","Лид в воронке «Воронка квалификации» на статусе «Лид», итоговый балл скоринга после пересчёта ≥ 50 (например 52), запрета MQL нет",статус воронки становится «MQL»,tc-5295099-1
Лид в колонке MQL,"""[Story] - Автопереход статуса воронки на MQL при скоринге""","Лид в воронке «Воронка квалификации» на статусе «Лид», итоговый балл скоринга после пересчёта ≥ 50 (например 52), запрета MQL нет",лид в колонке «MQL» на Kanban,tc-5295099-2
Порог ровно 50 — автопереход,"""[Story] - Автопереход статуса воронки на MQL при скоринге""","Лид в воронке «Воронка квалификации» на статусе «Лид», итоговый балл скоринга после пересчёта ровно 50, запрета MQL нет",статус воронки автоматически становится «MQL»,tc-5295099-3
Запись в истории об автосмене,"""[Story] - Автопереход статуса воронки на MQL при скоринге""",Автопереход на «MQL» сработал,в истории действий лида есть запись об автоматическом изменении статуса воронки,tc-5295099-4
Запрет MQL — статус Лид,"""[Story] - Автопереход статуса воронки на MQL при скоринге""","Лид в воронке «Воронка квалификации» на статусе «Лид», итоговый балл ≥ 50, действует запрет MQL («Не является потенциальным покупателем»)",статус воронки автоматически остаётся «Лид»,tc-5295099-5
Ручной перевод при запрете MQL,"""[Story] - Автопереход статуса воронки на MQL при скоринге""",У лида с запретом MQL менеджер с правом смены статуса воронки вручную переводит лид на «MQL»,статус меняется,tc-5295099-6
История ручной смены при запрете,"""[Story] - Автопереход статуса воронки на MQL при скоринге""",У лида с запретом MQL менеджер с правом смены статуса воронки вручную переводит лид на «MQL»,в истории действий — запись о ручной смене статуса (не автоматическая),tc-5295099-7
Балл ниже 50 — статус Лид,"""[Story] - Автопереход статуса воронки на MQL при скоринге""","Лид в воронке «Воронка квалификации» на статусе «Лид», итоговый балл после пересчёта < 50 (например 42), запрета MQL нет",статус воронки автоматически остаётся «Лид»,tc-5295099-8
Ручной перевод при балле ниже 50,"""[Story] - Автопереход статуса воронки на MQL при скоринге""",Лид с баллом < 50 на статусе «Лид»; менеджер с правом смены статуса вручную переводит на «MQL»,статус меняется,tc-5295099-9
Уже MQL — без автосмены,"""[Story] - Автопереход статуса воронки на MQL при скоринге""",Лид уже на статусе «MQL» в «Воронка квалификации»; пересчёт скоринга (в т.ч. балл ниже 50),статус воронки автоматически не меняется,tc-5295099-10
Статус дальше MQL — без автосмены,"""[Story] - Автопереход статуса воронки на MQL при скоринге""",Лид на статусе дальше «MQL» в «Воронка квалификации»; пересчёт скоринга с баллом ≥ 50,статус воронки автоматически не меняется,tc-5295099-11
Падение балла — без отката,"""[Story] - Автопереход статуса воронки на MQL при скоринге""",Лид уже на «MQL»; итоговый балл после пересчёта падает ниже 50 (например 38),статус воронки автоматически остаётся «MQL» (без отката),tc-5295099-12
Другая воронка — без автоперехода,"""[Story] - Автопереход статуса воронки на MQL при скоринге""",Лид в другой воронке (не «Воронка квалификации») на статусе «Лид»; пересчёт с баллом ≥ 50 без запрета MQL,статус воронки этим правилом не меняется,tc-5295099-13
Другой статус — без автоперехода,"""[Story] - Автопереход статуса воронки на MQL при скоринге""","Лид в «Воронка квалификации» на статусе, отличном от «Лид» и не требующем автоперехода на «MQL»; пересчёт с баллом ≥ 50",статус этим правилом не меняется,tc-5295099-14
Нет воронки или статусов — лиды без изменений,"""[Story] - Автопереход статуса воронки на MQL при скоринге""",В workspace нет воронки «Воронка квалификации» или статусов «Лид» / «MQL»; происходит пересчёт скоринга лида,лиды не меняются,tc-5295099-15
Нет воронки или статусов — без ошибки UI,"""[Story] - Автопереход статуса воронки на MQL при скоринге""",В workspace нет воронки «Воронка квалификации» или статусов «Лид» / «MQL»; происходит пересчёт скоринга лида,ошибка пользователю не показывается,tc-5295099-16
