Name,Folder,Steps,Expected,Id
Карточка после создания через Добавить,"""[Story] - Live update канбана CRM""",Сотрудник на канбане CRM успешно создаёт лид через «Добавить»,без reload обновляется карточка этого лида,tc-5410315-1
Карточка после редактирования в деталях,"""[Story] - Live update канбана CRM""",Сотрудник успешно редактирует лид в деталях,без reload обновляется карточка этого лида,tc-5410315-2
Live-update автору и новому ответственному,"""[Story] - Live update канбана CRM""",У Анны (автор) и Марии (новый ответственный) открыт канбан той же воронки; Анна успешно меняет ответственного с Бориса на Марию,без reload канбаны Анны и Марии показывают Марию ответственным,tc-5410315-3
Количество по статусам после создания через Добавить,"""[Story] - Live update канбана CRM""",Сотрудник на канбане CRM успешно создаёт лид через «Добавить»,без reload обновляется количество лидов по статусам,tc-5410315-4
Количество по воронке после создания через Добавить,"""[Story] - Live update канбана CRM""",Сотрудник на канбане CRM успешно создаёт лид через «Добавить»,без reload обновляется количество лидов по воронке,tc-5410315-5
Сумма по статусам после создания через Добавить,"""[Story] - Live update канбана CRM""",Сотрудник на канбане CRM успешно создаёт лид через «Добавить»,без reload обновляется сумма поля «Сумма» по статусам,tc-5410315-6
Сумма по воронке после создания через Добавить,"""[Story] - Live update канбана CRM""",Сотрудник на канбане CRM успешно создаёт лид через «Добавить»,без reload обновляется сумма поля «Сумма» по воронке,tc-5410315-7
Карточка после создания из тикета,"""[Story] - Live update канбана CRM""",Сотрудник успешно создаёт лид из тикета,без reload на канбане затронутой воронки обновляется карточка лида,tc-5410315-8
Количество по статусам после создания из тикета,"""[Story] - Live update канбана CRM""",Сотрудник успешно создаёт лид из тикета,без reload на канбане затронутой воронки обновляется количество лидов по статусам,tc-5410315-9
Количество по воронке после создания из тикета,"""[Story] - Live update канбана CRM""",Сотрудник успешно создаёт лид из тикета,без reload на канбане затронутой воронки обновляется количество лидов по воронке,tc-5410315-10
Сумма по статусам после создания из тикета,"""[Story] - Live update канбана CRM""",Сотрудник успешно создаёт лид из тикета,без reload на канбане затронутой воронки обновляется сумма по статусам,tc-5410315-11
Сумма по воронке после создания из тикета,"""[Story] - Live update канбана CRM""",Сотрудник успешно создаёт лид из тикета,без reload на канбане затронутой воронки обновляется сумма по воронке,tc-5410315-12
Карточка после создания из сообщения,"""[Story] - Live update канбана CRM""",Сотрудник успешно создаёт лид из сообщения,без reload на канбане затронутой воронки обновляется карточка лида,tc-5410315-13
Количество по статусам после создания из сообщения,"""[Story] - Live update канбана CRM""",Сотрудник успешно создаёт лид из сообщения,без reload на канбане затронутой воронки обновляется количество лидов по статусам,tc-5410315-14
Количество по воронке после создания из сообщения,"""[Story] - Live update канбана CRM""",Сотрудник успешно создаёт лид из сообщения,без reload на канбане затронутой воронки обновляется количество лидов по воронке,tc-5410315-15
Сумма по статусам после создания из сообщения,"""[Story] - Live update канбана CRM""",Сотрудник успешно создаёт лид из сообщения,без reload на канбане затронутой воронки обновляется сумма по статусам,tc-5410315-16
Сумма по воронке после создания из сообщения,"""[Story] - Live update канбана CRM""",Сотрудник успешно создаёт лид из сообщения,без reload на канбане затронутой воронки обновляется сумма по воронке,tc-5410315-17
Карточка после автосоздания,"""[Story] - Live update канбана CRM""",Лид успешно автосоздаётся,без reload на канбане затронутой воронки обновляется карточка лида,tc-5410315-18
Количество по статусам после автосоздания,"""[Story] - Live update канбана CRM""",Лид успешно автосоздаётся,без reload на канбане затронутой воронки обновляется количество лидов по статусам,tc-5410315-19
Количество по воронке после автосоздания,"""[Story] - Live update канбана CRM""",Лид успешно автосоздаётся,без reload на канбане затронутой воронки обновляется количество лидов по воронке,tc-5410315-20
Сумма по статусам после автосоздания,"""[Story] - Live update канбана CRM""",Лид успешно автосоздаётся,без reload на канбане затронутой воронки обновляется сумма по статусам,tc-5410315-21
Сумма по воронке после автосоздания,"""[Story] - Live update канбана CRM""",Лид успешно автосоздаётся,без reload на канбане затронутой воронки обновляется сумма по воронке,tc-5410315-22
Количество по статусам после редактирования в деталях,"""[Story] - Live update канбана CRM""",Сотрудник успешно редактирует лид в деталях,без reload на канбане обновляется количество лидов по статусам,tc-5410315-23
Количество по воронке после редактирования в деталях,"""[Story] - Live update канбана CRM""",Сотрудник успешно редактирует лид в деталях,без reload на канбане обновляется количество лидов по воронке,tc-5410315-24
Сумма по статусам после редактирования в деталях,"""[Story] - Live update канбана CRM""",Сотрудник успешно редактирует лид в деталях,без reload на канбане обновляется сумма по статусам,tc-5410315-25
Сумма по воронке после редактирования в деталях,"""[Story] - Live update канбана CRM""",Сотрудник успешно редактирует лид в деталях,без reload на канбане обновляется сумма по воронке,tc-5410315-26
Карточка после смены статуса из списка,"""[Story] - Live update канбана CRM""",Сотрудник успешно меняет статус лида из списка статусов,без reload на канбане обновляется карточка лида,tc-5410315-27
Количество по статусам после смены статуса из списка,"""[Story] - Live update канбана CRM""",Сотрудник успешно меняет статус лида из списка статусов,без reload на канбане обновляется количество лидов по статусам,tc-5410315-28
Количество по воронке после смены статуса из списка,"""[Story] - Live update канбана CRM""",Сотрудник успешно меняет статус лида из списка статусов,без reload на канбане обновляется количество лидов по воронке,tc-5410315-29
Сумма по статусам после смены статуса из списка,"""[Story] - Live update канбана CRM""",Сотрудник успешно меняет статус лида из списка статусов,без reload на канбане обновляется сумма по статусам,tc-5410315-30
Сумма по воронке после смены статуса из списка,"""[Story] - Live update канбана CRM""",Сотрудник успешно меняет статус лида из списка статусов,без reload на канбане обновляется сумма по воронке,tc-5410315-31
Карточка после смены статуса перетаскиванием,"""[Story] - Live update канбана CRM""",Сотрудник успешно меняет статус лида перетаскиванием,без reload на канбане обновляется карточка лида,tc-5410315-32
Количество по статусам после смены статуса перетаскиванием,"""[Story] - Live update канбана CRM""",Сотрудник успешно меняет статус лида перетаскиванием,без reload на канбане обновляется количество лидов по статусам,tc-5410315-33
Количество по воронке после смены статуса перетаскиванием,"""[Story] - Live update канбана CRM""",Сотрудник успешно меняет статус лида перетаскиванием,без reload на канбане обновляется количество лидов по воронке,tc-5410315-34
Сумма по статусам после смены статуса перетаскиванием,"""[Story] - Live update канбана CRM""",Сотрудник успешно меняет статус лида перетаскиванием,без reload на канбане обновляется сумма по статусам,tc-5410315-35
Сумма по воронке после смены статуса перетаскиванием,"""[Story] - Live update канбана CRM""",Сотрудник успешно меняет статус лида перетаскиванием,без reload на канбане обновляется сумма по воронке,tc-5410315-36
Количество статуса в шапке колонки,"""[Story] - Live update канбана CRM""",После успешного сохранения лида на канбане,количество статуса отображается в шапке колонки,tc-5410315-37
Сумма статуса рядом со счётчиком,"""[Story] - Live update канбана CRM""",После успешного сохранения лида на канбане,сумма статуса отображается в шапке колонки рядом со счётчиком,tc-5410315-38
Количество воронки у общего счётчика,"""[Story] - Live update канбана CRM""",После успешного сохранения лида на канбане,количество воронки отображается у общего счётчика лидов,tc-5410315-39
Сумма воронки рядом с общим количеством,"""[Story] - Live update канбана CRM""",После успешного сохранения лида на канбане,сумма воронки отображается рядом с общим количеством лидов,tc-5410315-40
Пересчёт количеств у автора и нового ответственного,"""[Story] - Live update канбана CRM""",У Анны (автор) и Марии (новый ответственный) открыт канбан той же воронки; Анна успешно меняет ответственного с Бориса на Марию,без reload канбаны Анны и Марии показывают пересчитанные количества,tc-5410315-41
Пересчёт сумм у автора и нового ответственного,"""[Story] - Live update канбана CRM""",У Анны (автор) и Марии (новый ответственный) открыт канбан той же воронки; Анна успешно меняет ответственного с Бориса на Марию,без reload канбаны Анны и Марии показывают пересчитанные суммы,tc-5410315-42
Нет live-update у бывшего ответственного,"""[Story] - Live update канбана CRM""","У Бориса (бывший ответственный, после сохранения простой участник) открыт канбан той же воронки; Анна успешно меняет ответственного с Бориса на Марию",канбан Бориса это изменение лида не получает без ручной перезагрузки,tc-5410315-43
Нет live-update у участника,"""[Story] - Live update канбана CRM""",У Веры (участник) открыт канбан той же воронки; Анна успешно меняет ответственного с Бориса на Марию,канбан Веры это изменение лида не получает без ручной перезагрузки,tc-5410315-44
Нет live-update у вышестоящего в иерархии,"""[Story] - Live update канбана CRM""","У Кирилла (выше в иерархии, не автор/ответственный/участник) открыт канбан той же воронки; Анна успешно меняет ответственного с Бориса на Марию",канбан Кирилла это изменение лида не получает без ручной перезагрузки,tc-5410315-45
Live-update названия на карточке,"""[Story] - Live update канбана CRM""","У сессии, которая получает live-update, на карточке лида меняют название (успешное сохранение другой сессией)",без reload на карточке отображается новое название,tc-5410315-46
Live-update контакта на карточке,"""[Story] - Live update канбана CRM""","У сессии, которая получает live-update, на карточке лида меняют контакт (успешное сохранение другой сессией)",без reload на карточке отображается новый контакт,tc-5410315-47
Live-update ответственного на карточке,"""[Story] - Live update канбана CRM""","У сессии, которая получает live-update, на карточке лида меняют ответственного (успешное сохранение другой сессией)",без reload на карточке отображается новый ответственный,tc-5410315-48
Live-update суммы на карточке,"""[Story] - Live update канбана CRM""","У сессии, которая получает live-update, на карточке лида меняют сумму (успешное сохранение другой сессией)",без reload на карточке отображается новая сумма,tc-5410315-49
Live-update валюты на карточке,"""[Story] - Live update канбана CRM""","У сессии, которая получает live-update, на карточке лида меняют валюту (успешное сохранение другой сессией)",без reload на карточке отображается новая валюта,tc-5410315-50
Метки не дают live-update карточки,"""[Story] - Live update канбана CRM""","У сессии, которая получает live-update, на лиде меняют только метки (успешное сохранение другой сессией)",без reload карточка на канбане не обновляется по меткам (метки вне списка live-update полей),tc-5410315-51
Колонка не меняется без смены статуса,"""[Story] - Live update канбана CRM""",Статус лида не менялся; успешно изменены сумма или валюта,карточка остаётся в той же колонке,tc-5410315-52
Количество по статусу не меняется без смены статуса,"""[Story] - Live update канбана CRM""",Статус лида не менялся; успешно изменены сумма или валюта,количество лидов по статусу не меняется,tc-5410315-53
Количество по воронке не меняется без смены статуса,"""[Story] - Live update канбана CRM""",Статус лида не менялся; успешно изменены сумма или валюта,количество лидов по воронке не меняется,tc-5410315-54
Сумма статуса пересчитывается без смены статуса,"""[Story] - Live update канбана CRM""",Статус лида не менялся; успешно изменены сумма или валюта,сумма статуса пересчитывается,tc-5410315-55
Сумма воронки пересчитывается без смены статуса,"""[Story] - Live update канбана CRM""",Статус лида не менялся; успешно изменены сумма или валюта,сумма воронки пересчитывается,tc-5410315-56
Карточка в колонке нового статуса той же воронки,"""[Story] - Live update канбана CRM""",Лид успешно переносят в другой статус той же воронки,без reload карточка переезжает в колонку нового статуса,tc-5410315-57
Количество исходного статуса после переноса,"""[Story] - Live update канбана CRM""",Лид успешно переносят в другой статус той же воронки,без reload количество исходного статуса обновляется,tc-5410315-58
Количество нового статуса после переноса,"""[Story] - Live update канбана CRM""",Лид успешно переносят в другой статус той же воронки,без reload количество нового статуса обновляется,tc-5410315-59
Сумма исходного статуса после переноса,"""[Story] - Live update канбана CRM""",Лид успешно переносят в другой статус той же воронки,без reload сумма исходного статуса обновляется,tc-5410315-60
