Name,Folder,Steps,Expected,Id
Виджет на личном дашборде,"""[Story] — Виджет «План на текущую неделю»""",Открыть личный дашборд Web под текущим сотрудником,отображается виджет с заголовком «План на текущую неделю»,tc-5228268-1
Группировка по дням недели,"""[Story] — Виджет «План на текущую неделю»""","Сегодня среда; у пользователя три активные сущности с заполненным «Выполнить по»: задача на среду, тикет на пятницу, лид на понедельник текущей недели; пользователь — ответственный по всем трём; открыть личный дашборд","элементы сгруппированы по дням: лид — в группе понедельника, задача — среды, тикет — пятницы; у каждого видны тип, название и «Выполнить по»",tc-5228268-2
Соисполнитель не в виджете,"""[Story] — Виджет «План на текущую неделю»""","У пользователя активная задача с «Выполнить по» на четверг текущей недели; пользователь — только соисполнитель, не ответственный; открыть личный дашборд",задача не отображается в виджете,tc-5228268-3
Задача ответственного в группе дня,"""[Story] — Виджет «План на текущую неделю»""",Пользователь — ответственный за активную задачу с заполненным «Выполнить по» внутри текущей календарной недели,задача отображается в группе соответствующего дня,tc-5228268-4
Тикет ответственного в группе дня,"""[Story] — Виджет «План на текущую неделю»""",Пользователь — ответственный за активный тикет с заполненным «Выполнить по» внутри текущей календарной недели,тикет отображается в группе соответствующего дня,tc-5228268-5
Лид ответственного в группе дня,"""[Story] — Виджет «План на текущую неделю»""",Пользователь — ответственный за активный лид с заполненным «Выполнить по» внутри текущей календарной недели,лид отображается в группе соответствующего дня,tc-5228268-6
Запись справочника в группе дня,"""[Story] — Виджет «План на текущую неделю»""","Пользователь — ответственный за активную запись справочника со сроком действия, попадающим в текущую календарную неделю",запись отображается в группе соответствующего дня,tc-5228268-7
Активная задача в виджете,"""[Story] — Виджет «План на текущую неделю»""",Активная задача с заполненным «Выполнить по»; пользователь — ответственный,задача присутствует в виджете,tc-5228268-8
Выполненная задача не в виджете,"""[Story] — Виджет «План на текущую неделю»""",Задача в статусе «Выполнена» с «Выполнить по» в текущей неделе; пользователь — ответственный,задача не отображается в виджете,tc-5228268-9
Отменённая задача не в виджете,"""[Story] — Виджет «План на текущую неделю»""",Задача в статусе «Отменена» с «Выполнить по» в текущей неделе; пользователь — ответственный,задача не отображается в виджете,tc-5228268-10
Без срока не в виджете,"""[Story] — Виджет «План на текущую неделю»""",Активная сущность без заполненного «Выполнить по» (или без срока действия для записи справочника); пользователь — ответственный,сущность не отображается в виджете,tc-5228268-11
До понедельника не в виджете,"""[Story] — Виджет «План на текущую неделю»""",Активная сущность с «Выполнить по» строго раньше понедельника текущей календарной недели; пользователь — ответственный,сущность не отображается в виджете,tc-5228268-12
После воскресенья не в виджете,"""[Story] — Виджет «План на текущую неделю»""",Активная сущность с «Выполнить по» строго после воскресенья текущей календарной недели; пользователь — ответственный,сущность не отображается в виджете,tc-5228268-13
Прошедший день внутри недели,"""[Story] — Виджет «План на текущую неделю»""",Сегодня среда; активная сущность с «Выполнить по» на понедельник той же недели; пользователь — ответственный,"сущность остаётся в группе понедельника (день уже прошёл, но внутри текущей недели)",tc-5228268-14
Группы по дням недели,"""[Story] — Виджет «План на текущую неделю»""",Элементы виджета с «Выполнить по» на разные дни текущей недели,сгруппированы по дням недели (отдельные группы для каждого дня с элементами),tc-5228268-15
"Тип, название и срок элемента","""[Story] — Виджет «План на текущую неделю»""",Для каждого элемента в виджете,"отображаются тип сущности, название и значение «Выполнить по»",tc-5228268-16
Клик открывает карточку,"""[Story] — Виджет «План на текущую неделю»""",Нажать на элемент в виджете,открывается карточка соответствующей сущности,tc-5228268-17
Любой тип задачи в виджете,"""[Story] — Виджет «План на текущую неделю»""","Активная задача любого типа (`task`, `meeting`, `agreement`, `acquaintance`, `agreement_task`) с заполненным «Выполнить по» в текущей неделе; пользователь — ответственный",задача отображается в виджете,tc-5228268-18
Границы недели в TZ пользователя,"""[Story] — Виджет «План на текущую неделю»""",Границы текущей календарной недели (понедельник 00:00 — воскресенье 23:59),определяются в часовом поясе текущего пользователя,tc-5228268-19
Заголовок «Сегодня»,"""[Story] — Виджет «План на текущую неделю»""",Открыть личный дашборд; в виджете есть элементы на сегодня,заголовок группы дня отображается как «Сегодня»,tc-5228268-20
Заголовок «Завтра»,"""[Story] — Виджет «План на текущую неделю»""",В виджете есть элементы на завтра,заголовок группы дня отображается как «Завтра»,tc-5228268-21
Полное название дня недели,"""[Story] — Виджет «План на текущую неделю»""",В виджете есть элементы на другой день текущей недели (не сегодня и не завтра),заголовок группы отображается полным названием дня недели (например «Пятница»),tc-5228268-22
Формат срока без диапазона,"""[Story] — Виджет «План на текущую неделю»""",Элемент с «Выполнить по» (не встреча с диапазоном времени),"срок отображается в формате «До DD.MM.YYYY, HH:MM»",tc-5228268-23
Формат срока встречи с диапазоном,"""[Story] — Виджет «План на текущую неделю»""",Встреча с диапазоном времени «Выполнить по»,"срок отображается в формате «До DD.MM.YYYY, HH:MM-HH:MM»",tc-5228268-24
Бейдж «Тикет»,"""[Story] — Виджет «План на текущую неделю»""",Тикет в виджете,бейдж типа отображает текст «Тикет»,tc-5228268-25
Бейдж «Задача»,"""[Story] — Виджет «План на текущую неделю»""",Задача в виджете,бейдж типа отображает текст «Задача»,tc-5228268-26
Бейдж «Лид»,"""[Story] — Виджет «План на текущую неделю»""",Лид в виджете,бейдж типа отображает текст «Лид»,tc-5228268-27
Бейдж «Встреча»,"""[Story] — Виджет «План на текущую неделю»""",Встреча в виджете,бейдж типа отображает текст «Встреча»,tc-5228268-28
Бейдж «Запись в справочнике»,"""[Story] — Виджет «План на текущую неделю»""",Запись справочника в виджете,бейдж типа отображает текст «Запись в справочнике»,tc-5228268-29
Сворачивание группы дня,"""[Story] — Виджет «План на текущую неделю»""",Заголовок группы дня в виджете,рядом со стрелкой; клик по заголовку сворачивает или разворачивает список элементов группы,tc-5228268-30
Вертикальная прокрутка,"""[Story] — Виджет «План на текущую неделю»""","Развёрнутый виджет с количеством элементов, превышающим видимую область",появляется вертикальная прокрутка с тонким скроллбаром,tc-5228268-31
Иконка calendar-check в заголовке,"""[Story] — Виджет «План на текущую неделю»""",Заголовок виджета «План на текущую неделю»,слева от текста отображается иконка calendar-check,tc-5228268-32
