Name,Folder,Steps,Expected,Id
Два независимых поля на карточке,[Story] — Стадия жизненного цикла лида: фундамент модели,Открыть карточку лида,отдельно показаны два независимых поля: «этап воронки» и «стадия жизненного цикла».,tc-5201511-1
Справочник стадий lifecycle,[Story] — Стадия жизненного цикла лида: фундамент модели,Открыть поле «стадия жизненного цикла»,"доступны значения справочника: Visitor, Lead, MQL, SQL, Opportunity, Won.",tc-5201511-2
Новый лид — стадия Lead,[Story] — Стадия жизненного цикла лида: фундамент модели,Создать новый лид,стадия жизненного цикла по умолчанию Lead.,tc-5201511-3
Visitor в справочнике существующего лида,[Story] — Стадия жизненного цикла лида: фундамент модели,На существующей карточке лида открыть поле стадии,Visitor есть среди значений справочника (ручная установка на уже созданной карточке; pre-lead Visitor до появления карточки — вне скоупа).,tc-5201511-4
Lead на соседнюю MQL,[Story] — Стадия жизненного цикла лида: фундамент модели,Как ответственный за лид со стадией Lead сменить стадию на соседнюю MQL,стадия на карточке = MQL (смежный шаг вперёд по критерию 2).,tc-5201511-5
Opportunity на Won,[Story] — Стадия жизненного цикла лида: фундамент модели,Как ответственный сменить стадию Opportunity,Won → стадия = Won.,tc-5201511-6
Пропуск стадий не сохраняется,[Story] — Стадия жизненного цикла лида: фундамент модели,Со стадии Lead попытаться перейти на Opportunity (пропуск MQL и SQL),"изменение не сохраняется; стадия остаётся Lead (критерий 2: только последовательные переходы, перепрыгивать нельзя).",tc-5201511-7
Шаг назад SQL на MQL не сохраняется,[Story] — Стадия жизненного цикла лида: фундамент модели,Со стадии SQL попытаться перейти на MQL (назад / повторный вход),изменение не сохраняется; стадия остаётся SQL (критерий 2: только последовательная цепочка).,tc-5201511-8
Won в другую стадию с историей,[Story] — Стадия жизненного цикла лида: фундамент модели,Пользователь с правом смены стадии (ответственный или его руководитель) меняет Won на другую стадию (например Opportunity),"стадия сохраняется; в истории есть переход Won → выбранная стадия с сотрудником и датой/временем; период на Won закрыт, открыт период на новой стадии.",tc-5201511-9
Руководитель ответственного меняет Won,[Story] — Стадия жизненного цикла лида: фундамент модели,"Как руководитель ответственного за лид (его линейный/орг-руководитель) меняет Won на другую стадию (пример 3B: Anna, только если Anna — руководитель этого ответственного, а не любой руководитель компании)",стадия сохраняется.,tc-5201511-10
Смена lifecycle не меняет воронку,[Story] — Стадия жизненного цикла лида: фундамент модели,Сменить стадию lifecycle при неизменном этапе воронки,этап воронки на карточке не меняется.,tc-5201511-11
Смена воронки не меняет lifecycle,[Story] — Стадия жизненного цикла лида: фундамент модели,Сменить этап воронки (пример из тикета: «Демо»,«КП отправлено») при неизменной стадии lifecycle → стадия lifecycle не меняется автоматически; период текущей стадии lifecycle не закрывается.,tc-5201511-12
Смена стадии не трогает компанию и контакты,[Story] — Стадия жизненного цикла лида: фундамент модели,Сменить стадию lifecycle,"статус компании, контакт и стадии других лидов той же компании не меняются.",tc-5201511-13
Автор без права не меняет стадию,[Story] — Стадия жизненного цикла лида: фундамент модели,"Автор лида, который не является ответственным и не является руководителем ответственного, пытается сменить стадию",изменение не сохраняется; стадия видна только для просмотра.,tc-5201511-14
Посторонний видит стадию только для просмотра,[Story] — Стадия жизненного цикла лида: фундамент модели,"Пользователь, который не является ни ответственным за лид, ни руководителем этого ответственного, открывает карточку","стадия видна только для просмотра, сменить нельзя.",tc-5201511-15
История перехода после смены,[Story] — Стадия жизненного цикла лида: фундамент модели,После разрешённой смены стадии открыть историю на карточке лида,"запись содержит предыдущую стадию, новую стадию, сотрудника, инициировавшего переход, дату и время.",tc-5201511-16
Периоды закрываются и открываются,[Story] — Стадия жизненного цикла лида: фундамент модели,После разрешённой смены стадии,предыдущий период на старой стадии закрыт (дата/время выхода и кто закрыл период); открыт новый период на новой стадии (дата/время входа).,tc-5201511-17
Повторный вход на MQL — новый период,[Story] — Стадия жизненного цикла лида: фундамент модели,"Если лид уже бывал на стадии (например MQL), затем получил Won, и пользователь с правом смены переводит Won обратно на MQL",создаётся новый период на MQL; прежние периоды сохранены; дата первого достижения MQL не перезаписывается.,tc-5201511-18
Инициализация существующих лидов в Lead,[Story] — Стадия жизненного цикла лида: фундамент модели,При первом включении функции открыть существующий лид без ранее заданной стадии,текущая стадия Lead; зафиксированы факт и дата инициализации lifecycle.,tc-5201511-19
