Name,Folder,Steps,Expected,Id
Опция «По приоритетам» в меню,"""[Story] — Сортировка лидов «По приоритетам» на канбане CRM""",Менеджер продаж открывает канбан воронки CRM и меню сортировки,в списке опций есть **«По приоритетам»**,tc-5363591-1
Сортировка по умолчанию,"""[Story] — Сортировка лидов «По приоритетам» на канбане CRM""",Менеджер продаж открывает канбан воронки CRM (сортировку не менял),активна сортировка **«По дате создания»**,tc-5363591-2
Уровень 1 выше уровня 2 в колонке,"""[Story] — Сортировка лидов «По приоритетам» на канбане CRM""","На канбане CRM в колонке стадии: лид А — пропущенный входящий звонок, скоринг 40; лид Б — входящее «пришлите договор», скоринг 90; менеджер выбирает сортировку **«По приоритетам»**",в этой колонке лид А выше лида Б,tc-5363591-3
Прежние опции сортировки сохранены,"""[Story] — Сортировка лидов «По приоритетам» на канбане CRM""",Менеджер продаж открывает меню сортировки канбана CRM,прежние опции сортировки (кроме новой **«По приоритетам»**) по-прежнему доступны,tc-5363591-4
Уровень 1 выше уровня 4 во второй колонке,"""[Story] — Сортировка лидов «По приоритетам» на канбане CRM""","На канбане CRM выбрана сортировка **«По приоритетам»**; во второй колонке стадии: лид В — пропущенный входящий звонок, скоринг 30; лид Г — скоринг 95, без пропущенного входящего звонка и без входящих сообщений",лид В выше лида Г,tc-5363591-5
Уровень 2 выше уровня 3,"""[Story] — Сортировка лидов «По приоритетам» на канбане CRM""","На канбане CRM выбрана сортировка **«По приоритетам»**; в колонке стадии: лид Д — входящее «пришлите договор», скоринг 40; лид Е — входящее «расскажите подробнее», скоринг 80",лид Д выше лида Е,tc-5363591-6
Уровень 3 выше уровня 4,"""[Story] — Сортировка лидов «По приоритетам» на канбане CRM""","На канбане CRM выбрана сортировка **«По приоритетам»**; в колонке стадии: лид Ж — входящее «Нам интересно», скоринг 50; лид З — скоринг 95, без сигналов уровней 1–3",лид Ж выше лида З,tc-5363591-7
Раньше сигнал уровня 1 — выше,"""[Story] — Сортировка лидов «По приоритетам» на канбане CRM""","На канбане CRM выбрана сортировка **«По приоритетам»**; в колонке стадии два лида с пропущенным входящим звонком: у лида И сигнал в 10:00 и меньший скоринг, у лида К сигнал в 10:10 и больший скоринг",лид И выше лида К,tc-5363591-8
"«Спасибо, посмотрим» не даёт 2/3","""[Story] — Сортировка лидов «По приоритетам» на канбане CRM""","На канбане CRM выбрана сортировка **«По приоритетам»**; в колонке стадии: лид Л — входящее «Спасибо, посмотрим», скоринг 20; лид М — скоринг 90, без сигналов уровней 1–3",лид М выше лида Л,tc-5363591-9
Сортировка после фильтра и «Только мои»,"""[Story] — Сортировка лидов «По приоритетам» на канбане CRM""","На канбане CRM применены фильтр, поиск или **«Только мои»**; выбрана сортировка **«По приоритетам»**",в колонках упорядочены только лиды из уже отфильтрованного набора по правилам приоритета,tc-5363591-10
Сильнейший сигнал побеждает,"""[Story] — Сортировка лидов «По приоритетам» на канбане CRM""",У лида одновременно пропущенный входящий звонок (уровень 1) и входящее с просьбой о следующем шаге (уровень 2); на канбане выбрана сортировка **«По приоритетам»**,лид занимает позицию уровня 1 относительно лидов с более слабыми сигналами,tc-5363591-11
Равный скоринг уровня 4 — раньше создан выше,"""[Story] — Сортировка лидов «По приоритетам» на канбане CRM""",На канбане CRM выбрана сортировка **«По приоритетам»**; в колонке два лида уровня 4 с одинаковым баллом скоринга: лид П создан раньше лида Р,лид П выше лида Р,tc-5363591-12
Просьба о КП — уровень 2,"""[Story] — Сортировка лидов «По приоритетам» на канбане CRM""",На канбане CRM выбрана сортировка **«По приоритетам»**; в колонке лид с входящим сообщением с просьбой о **КП** (уровень 2) и лид только со скорингом без сигналов 1–3 (уровень 4),лид с просьбой о КП выше,tc-5363591-13
Просьба о демо — уровень 2,"""[Story] — Сортировка лидов «По приоритетам» на канбане CRM""",На канбане CRM выбрана сортировка **«По приоритетам»**; в колонке лид с входящим сообщением с просьбой о **демо** (уровень 2) и лид только со скорингом без сигналов 1–3 (уровень 4),лид с просьбой о демо выше,tc-5363591-14
Просьба о счёте — уровень 2,"""[Story] — Сортировка лидов «По приоритетам» на канбане CRM""",На канбане CRM выбрана сортировка **«По приоритетам»**; в колонке лид с входящим сообщением с просьбой о **счёте** (уровень 2) и лид только со скорингом без сигналов 1–3 (уровень 4),лид с просьбой о счёте выше,tc-5363591-15
Условия подключения — уровень 2,"""[Story] — Сортировка лидов «По приоритетам» на канбане CRM""",На канбане CRM выбрана сортировка **«По приоритетам»**; в колонке лид с входящим сообщением с просьбой об **условиях подключения** (уровень 2) и лид только со скорингом без сигналов 1–3 (уровень 4),лид с просьбой об условиях подключения выше,tc-5363591-16
Назначить созвон — уровень 2,"""[Story] — Сортировка лидов «По приоритетам» на канбане CRM""",На канбане CRM выбрана сортировка **«По приоритетам»**; в колонке лид с входящим сообщением с просьбой **назначить созвон** (уровень 2) и лид только со скорингом без сигналов 1–3 (уровень 4),лид с просьбой назначить созвон выше,tc-5363591-17
«Хотим узнать больше» — уровень 3,"""[Story] — Сортировка лидов «По приоритетам» на канбане CRM""",На канбане CRM выбрана сортировка **«По приоритетам»**; в колонке лид с входящим «Хотим узнать больше» (уровень 3) и лид только со скорингом без сигналов 1–3 (уровень 4),лид с «Хотим узнать больше» выше,tc-5363591-18
