Name,Folder,Steps,Expected,Id
Виджет встреч на дашборде,"""[Story] Виджет «Ближайшие встречи»""",Открыть личный дашборд Web под текущим сотрудником,отображается виджет встреч (заголовок «Встречи» / ближайшие встречи),tc-5152925-1
Встреча сегодня во вкладке,"""[Story] Виджет «Ближайшие встречи»""",У текущего пользователя есть предстоящая встреча на сегодня; открыть вкладку «Сегодня»,встреча отображается в списке виджета,tc-5152925-2
Пустое состояние сегодня,"""[Story] Виджет «Ближайшие встречи»""",На вкладке «Сегодня» нет предстоящих встреч текущего пользователя,показывается пустое состояние для сегодня,tc-5152925-3
Встреча завтра во вкладке,"""[Story] Виджет «Ближайшие встречи»""",У текущего пользователя есть предстоящая встреча на завтра; открыть вкладку «Завтра»,встреча отображается в списке виджета,tc-5152925-4
Чужая встреча не видна,"""[Story] Виджет «Ближайшие встречи»""",Пользователь A — участник встречи на сегодня; пользователь B не участник этой встречи; оба открывают вкладку «Сегодня»,встреча есть у A и отсутствует у B,tc-5152925-5
Время начала в строке,"""[Story] Виджет «Ближайшие встречи»""",В виджете отображается встреча,видно время начала,tc-5152925-6
Время окончания в строке,"""[Story] Виджет «Ближайшие встречи»""",В виджете отображается встреча,видно время окончания (длительность через интервал начала–окончания),tc-5152925-7
Название встречи,"""[Story] Виджет «Ближайшие встречи»""",В виджете отображается встреча,видно название встречи,tc-5152925-8
Участники встречи,"""[Story] Виджет «Ближайшие встречи»""",В виджете отображается встреча с участниками,видны участники (аватары / список),tc-5152925-9
Кнопка Подключиться при ссылке,"""[Story] Виджет «Ближайшие встречи»""",У встречи есть ссылка для подключения (онлайн),отображается кнопка «Подключиться»,tc-5152925-10
Подключиться открывает новую вкладку,"""[Story] Виджет «Ближайшие встречи»""",Нажать «Подключиться» у встречи со ссылкой,ссылка встречи открывается в новой вкладке,tc-5152925-11
Без ссылки нет Подключиться,"""[Story] Виджет «Ближайшие встречи»""",У встречи нет ссылки для подключения,кнопка «Подключиться» не отображается,tc-5152925-12
Переход в календарь,"""[Story] Виджет «Ближайшие встречи»""",Нажать ссылку перехода к календарю в футере виджета («Смотреть календарь» / «Ко всем встречам»),открывается календарь текущего пользователя,tc-5152925-13
Пустое состояние завтра,"""[Story] Виджет «Ближайшие встречи»""",На вкладке «Завтра» нет предстоящих встреч текущего пользователя,показывается пустое состояние для завтра,tc-5152925-14
Завершённая встреча скрыта,"""[Story] Виджет «Ближайшие встречи»""","Встреча текущего пользователя уже закончилась (время окончания ≤ сейчас), день — сегодня",встреча не отображается во вкладке «Сегодня»,tc-5152925-15
Сортировка по началу,"""[Story] Виджет «Ближайшие встречи»""",У пользователя несколько предстоящих встреч на выбранный день,в списке они идут по времени начала по возрастанию,tc-5152925-16
