Name,Folder,Steps,Expected,Id
Отчёт из чата контакта — сообщение с «Открыть отчёт»,"""[Story] - Создание пользовательского отчёта ИИ-сотрудником из чата""",Пользователь в чате контакта с ИИ-сотрудником; запрос с однозначными параметрами («Сделай отчёт по лидам за последний месяц с разбивкой по этапам воронки»),создан **один** пользовательский отчёт; в том же чате появляется сообщение с **названием отчёта** и действием **«Открыть отчёт»**,tc-5285847-1
«Открыть отчёт» открывает страницу отчёта,"""[Story] - Создание пользовательского отчёта ИИ-сотрудником из чата""",Пользователь нажимает **«Открыть отчёт»** в сообщении ИИ-сотрудника в чате,"открывается **страница** созданного отчёта (тот же отчёт, что создан по запросу)",tc-5285847-2
Отчёт во вкладке «Пользовательские отчёты»,"""[Story] - Создание пользовательского отчёта ИИ-сотрудником из чата""",После успешного создания отчёта из чата,"отчёт отображается во вкладке **«Пользовательские отчёты»** раздела **«Отчёты»** workspace компании и **доступен** пользователю, сделавшему запрос",tc-5285847-3
Отчёт из чата задачи — полный цикл,"""[Story] - Создание пользовательского отчёта ИИ-сотрудником из чата""",Пользователь в **чате задачи** с ИИ-сотрудником; запрос с однозначными параметрами отчёта,создан один пользовательский отчёт; в чате — сообщение с названием и **«Открыть отчёт»**; отчёт доступен во вкладке **«Пользовательские отчёты»**,tc-5285847-4
Один запрос — не более одного отчёта,"""[Story] - Создание пользовательского отчёта ИИ-сотрудником из чата""",За **один** запрос пользователя в диалоге с ИИ-сотрудником,обрабатывается **не более одного** отчёта (второй отчёт из того же сообщения не создаётся),tc-5285847-5
Неоднозначный запрос — уточняющие вопросы,"""[Story] - Создание пользовательского отчёта ИИ-сотрудником из чата""","Пользователь пишет «Сделай отчёт по продажам» без периода, метрик и среза","ИИ-сотрудник **задаёт уточняющие вопросы** (например, период, метрики, срез) и **не создаёт** отчёт",tc-5285847-6
Без уточнения — отчёт не создаётся,"""[Story] - Создание пользовательского отчёта ИИ-сотрудником из чата""",Пока параметры отчёта не уточнены пользователем,отчёт **не появляется** во вкладке «Пользовательские отчёты» и сообщение с **«Открыть отчёт»** **не отправляется**,tc-5285847-7
После уточнения — отчёт создаётся,"""[Story] - Создание пользовательского отчёта ИИ-сотрудником из чата""",После ответа пользователя на уточняющие вопросы по ранее неоднозначному запросу,ИИ-сотрудник **создаёт** пользовательский отчёт по уточнённым параметрам,tc-5285847-8
Ошибка построения — сообщение в чате,"""[Story] - Создание пользовательского отчёта ИИ-сотрудником из чата""",При **ошибке** построения отчёта,ИИ-сотрудник **сообщает об ошибке** в том же чате; отчёт **не добавляется** во вкладку «Пользовательские отчёты»,tc-5285847-9
Данные отчёта — только доступные пользователю,"""[Story] - Создание пользовательского отчёта ИИ-сотрудником из чата""","Отчёт, созданный по запросу пользователя","содержит **только** данные, которые этот пользователь имеет право видеть в Upservice (**те же правила**, что при ручном создании пользовательского отчёта в интерфейсе)",tc-5285847-10
Нет доступа к части данных — без утечки,"""[Story] - Создание пользовательского отчёта ИИ-сотрудником из чата""","Пользователь без доступа к части данных, относящихся к запрошенной аналитике",созданный для него отчёт **не раскрывает** недоступные данные (поведение как при ручном пользовательском отчёте),tc-5285847-11
Ручное создание отчёта — без изменений,"""[Story] - Создание пользовательского отчёта ИИ-сотрудником из чата""",**Ручное** создание пользовательского отчёта в разделе «Отчёты» интерфейса,работает **без изменений** относительно поведения до Story,tc-5285847-12
Ручной просмотр системных отчётов — без изменений,"""[Story] - Создание пользовательского отчёта ИИ-сотрудником из чата""",**Ручной** просмотр **системных** отчётов в интерфейсе,работает **без изменений**,tc-5285847-13
Ручной просмотр пользовательских отчётов — без изменений,"""[Story] - Создание пользовательского отчёта ИИ-сотрудником из чата""",**Ручной** просмотр **пользовательских** отчётов в интерфейсе,работает **без изменений**,tc-5285847-14
Нет прав Superset у ИИ-сотрудника — ошибка в чате,"""[Story] - Создание пользовательского отчёта ИИ-сотрудником из чата""",ИИ-сотрудник **не имеет** прав построения отчёта в Superset (не настроен в админке),запрос на создание отчёта из чата завершается **ошибкой**; ИИ-сотрудник сообщает об этом в чате; отчёт в «Пользовательские отчёты» **не попадает**,tc-5285847-15
