Name,Folder,Steps,Expected,Id
Таб «Лиды» доступен,"""[Story] - Таб «Лиды» и поле «Заметки» на карточке контрагента""",Пользователь открывает карточку контрагента через **«Клиенты → Контрагенты»**,на карточке доступен таб **«Лиды»**,tc-5284852-10
Поле «Заметки» в левой панели,"""[Story] - Таб «Лиды» и поле «Заметки» на карточке контрагента""",Пользователь открывает карточку контрагента,в **левой панели** доступно поле **«Заметки»**,tc-5284852-11
Два лида контрагента в списке,"""[Story] - Таб «Лиды» и поле «Заметки» на карточке контрагента""","У контрагента «ООО Ромашка» в CRM есть **два** лида, связанных с этой компанией, и в воркспейсе есть **один** лид другого контрагента; пользователь открывает карточку «ООО Ромашка» и переходит на таб **«Лиды»**",в списке отображаются **два** лида «ООО Ромашка»,tc-5284852-12
Чужой лид не в списке,"""[Story] - Таб «Лиды» и поле «Заметки» на карточке контрагента""","У контрагента «ООО Ромашка» в CRM есть **два** лида, связанных с этой компанией, и в воркспейсе есть **один** лид другого контрагента; пользователь открывает карточку «ООО Ромашка» и переходит на таб **«Лиды»**",лид другого контрагента **не показывается**,tc-5284852-13
Клик по лиду открывает карточку,"""[Story] - Таб «Лиды» и поле «Заметки» на карточке контрагента""",На табе **«Лиды»** контрагента отображается лид «Поставка оборудования»; пользователь **нажимает** на этот лид в списке,"открывается **карточка лида** «Поставка оборудования» (тот же экран, что при переходе к лиду из **CRM**)",tc-5284852-14
Заметка сохраняется и видна снова,"""[Story] - Таб «Лиды» и поле «Заметки» на карточке контрагента""",У контрагента «ИП Иванов» заметка **не заполнена**; пользователь в поле **«Заметки»** вводит «Перезвонить в пятницу» и **сохраняет**,при повторном открытии карточки «ИП Иванов» в поле «Заметки» отображается **«Перезвонить в пятницу»**,tc-5284852-15
Таб «История» без регрессии,"""[Story] - Таб «Лиды» и поле «Заметки» на карточке контрагента""",Пользователь открывает карточку контрагента и открывает таб **«История»**,таб **«История»** **доступен** и открывается без регрессии относительно текущего поведения,tc-5284852-16
Таб «Контакты» без регрессии,"""[Story] - Таб «Лиды» и поле «Заметки» на карточке контрагента""",Пользователь открывает карточку контрагента и открывает таб **«Контакты»**,таб **«Контакты»** **доступен** и открывается без регрессии относительно текущего поведения,tc-5284852-17
Таб «Сделки» без регрессии,"""[Story] - Таб «Лиды» и поле «Заметки» на карточке контрагента""",Пользователь открывает карточку контрагента и открывает таб **«Сделки»**,таб **«Сделки»** **доступен** и открывается без регрессии относительно текущего поведения,tc-5284852-18
Таб «Реквизиты» без регрессии,"""[Story] - Таб «Лиды» и поле «Заметки» на карточке контрагента""",Пользователь открывает карточку контрагента и открывает таб **«Реквизиты»**,таб **«Реквизиты»** **доступен** и открывается без регрессии относительно текущего поведения,tc-5284852-19
