Name,Folder,Steps,Expected,Id
Итоговый балл на Kanban для лида регистрации,"""[Story] — Скоринг зарегистрированного лида (воркспейс 8)""","Лид в workspace 8, источник — регистрация в Upservice (первый сотрудник workspace); открыть Kanban",отображается рассчитанный итоговый балл,tc-5294716-1
Итоговый балл в карточке для лида регистрации,"""[Story] — Скоринг зарегистрированного лида (воркспейс 8)""","Лид в workspace 8, источник — регистрация в Upservice (первый сотрудник workspace); открыть карточку лида",отображается рассчитанный итоговый балл,tc-5294716-2
Скоринг скрыт на Kanban вне workspace 8,"""[Story] — Скоринг зарегистрированного лида (воркспейс 8)""","Лид в workspace, отличном от 8, создан через регистрацию в Upservice; открыть Kanban",блок скоринга не отображается,tc-5294716-3
Скоринг скрыт в карточке вне workspace 8,"""[Story] — Скоринг зарегистрированного лида (воркспейс 8)""","Лид в workspace, отличном от 8, создан через регистрацию в Upservice; открыть карточку лида",блок скоринга не отображается,tc-5294716-4
Скоринг регистрации не для другого источника,"""[Story] — Скоринг зарегистрированного лида (воркспейс 8)""","Лид в workspace 8 с источником, отличным от регистрации в Upservice (форма, мессенджер, звонок, email, чат, ИИ-анализ и т.п.)",итоговый балл скоринга регистрации не рассчитывается и не отображается,tc-5294716-5
Позитивный сценарий — итоговый балл 75,"""[Story] — Скоринг зарегистрированного лида (воркспейс 8)""","Лид через регистрацию в workspace 8: корпоративная почта, осмысленное название компании «Acme», корректный телефон с Telegram, 6–20 планируемых пользователей, отмечен чекбокс «Нужна онлайн-демонстрация»",итоговый балл **75** (5+5+25+40),tc-5294716-6
Позитивный сценарий — балл 75 на Kanban,"""[Story] — Скоринг зарегистрированного лида (воркспейс 8)""","Лид через регистрацию в workspace 8: корпоративная почта, осмысленное название компании «Acme», корректный телефон с Telegram, 6–20 планируемых пользователей, отмечен чекбокс «Нужна онлайн-демонстрация»; открыть Kanban",на Kanban отображается **75**,tc-5294716-7
Позитивный сценарий — расшифровка в карточке,"""[Story] — Скоринг зарегистрированного лида (воркспейс 8)""","Лид через регистрацию в workspace 8: корпоративная почта, осмысленное название компании «Acme», корректный телефон с Telegram, 6–20 планируемых пользователей, отмечен чекбокс «Нужна онлайн-демонстрация»; открыть карточку лида",в карточке — расшифровка с четырьмя признаками и их вкладом,tc-5294716-8
Негативный сценарий — итоговый балл −60,"""[Story] — Скоринг зарегистрированного лида (воркспейс 8)""","Лид через регистрацию в workspace 8: временная почта, имя `asdasd`, телефон отсутствует, 1 планируемый пользователь",итоговый балл **−60** (−30−10−10−10),tc-5294716-9
Негативный сценарий — расшифровка штрафов,"""[Story] — Скоринг зарегистрированного лида (воркспейс 8)""","Лид через регистрацию в workspace 8: временная почта, имя `asdasd`, телефон отсутствует, 1 планируемый пользователь; открыть карточку лида",в расшифровке — четыре штрафных признака,tc-5294716-10
Негативный сценарий — балл −60 на Kanban,"""[Story] — Скоринг зарегистрированного лида (воркспейс 8)""","Лид через регистрацию в workspace 8: временная почта, имя `asdasd`, телефон отсутствует, 1 планируемый пользователь; открыть Kanban",на Kanban отображается **−60**,tc-5294716-11
Пересчёт — начальный балл 0,"""[Story] — Скоринг зарегистрированного лида (воркспейс 8)""","Лид через регистрацию в workspace 8: корпоративная почта (+5), осмысленная компания (+5), 1 планируемый пользователь (−10)",текущий балл **0**,tc-5294716-12
Пересчёт — балл после изменения планируемого кол-ва,"""[Story] — Скоринг зарегистрированного лида (воркспейс 8)""","Лид через регистрацию в workspace 8: корпоративная почта (+5), осмысленная компания (+5), 1 планируемый пользователь (−10), текущий балл **0**; пользователь уточняет планируемое кол-во до 6–20",балл пересчитан в **35** (5+5+25),tc-5294716-13
