Name,Folder,Steps,Expected,Id
Заголовок настроек воронки,[Story] - Причина перевода статуса лида,Открыть настройки CRM-воронки,заголовок «Настройки воронки»; подзаголовок «Выберите нужную воронку и настройте ее под себя.»; хлебные крошки «CRM» → «Настройки воронки».,tc-4985417-1
Блоки статусов воронки,[Story] - Причина перевода статуса лида,Просмотреть блоки статусов воронки,"секции «Начальный статус», «Промежуточные (дополнительные) статусы», «Конечный успешный статус», «Конечный неуспешный статус».",tc-4985417-2
Переключатель причины провала,[Story] - Причина перевода статуса лида,Посмотреть блок «Конечный неуспешный статус» (пример статуса «Закрыто и нереализовано»),под статусом виден переключатель «Собирать причину провала».,tc-4985417-3
Список причин при включении,[Story] - Причина перевода статуса лида,Включить переключатель «Собирать причину провала»,отображается список «Причины провала» и действие «Добавить причину».,tc-4985417-4
Плейсхолдер пустой строки,[Story] - Причина перевода статуса лида,При включённом переключателе и пустом списке открыть первую строку,плейсхолдер «Кликните для ввода причины».,tc-4985417-5
Добавить строку причины,[Story] - Причина перевода статуса лида,Нажать «Добавить причину»,"появляется строка для ввода (на макете текст «Новая причина»); у строки есть drag handle, иконки правки и удаления.",tc-4985417-6
Сохранённое значение — одна причина,[Story] - Причина перевода статуса лида,Задать значение в списке «Причины провала»,каждое сохранённое значение — одна причина перевода (пример на макете: «Не устроила цена (сделать первую общую для примера)»).,tc-4985417-7
Выключить сбор причины,[Story] - Причина перевода статуса лида,Выключить переключатель «Собирать причину провала»,список «Причины провала» не показывается; перенос лида на этот статус не требует причину.,tc-4985417-8
Модалка при переносе лида,[Story] - Причина перевода статуса лида,"Перенести лид на стадию, где переключатель включён","открывается модальное окно с заголовком «Причина провала», иконкой закрытия, подписью поля «Причины провала», плейсхолдером «Выберите причины» и кнопкой «Отправить».",tc-4985417-9
Варианты в выпадающем списке,[Story] - Причина перевода статуса лида,Открыть выпадающий список в модалке,"варианты совпадают со значениями из настроек (на макете: «Причина 1», «Причина 2», «Причина 3», «Причина 4»).",tc-4985417-10
Отправить выбранную причину,[Story] - Причина перевода статуса лида,Выбрать причину и нажать «Отправить»,лид переходит на целевой статус.,tc-4985417-11
Причина в логе изменений,[Story] - Причина перевода статуса лида,После успешного переноса с причиной открыть лог изменений,"строка содержит ФИО того, кто изменил, выбранную причину, дату и время (критерий: «ФИО кто измени: Причина + дата и время»).",tc-4985417-12
Перенос без выбранной причины,[Story] - Причина перевода статуса лида,"При включённом переключателе попытаться завершить перенос без выбранной причины (пустое «Отправить», закрытие модалки, отмена)",лид остаётся на прежнем статусе.,tc-4985417-13
