Name,Folder,Steps,Expected,Id
Тип сущности Лид,"""[Story] - Отложенное сообщение в чат контакта по стадии воронки (правила автоматизации)""",Пользователь открывает «Правила автоматизации» в настройках workspace,в типе сущности доступен Лид,tc-5272210-1
Условия воронка и стадия,"""[Story] - Отложенное сообщение в чат контакта по стадии воронки (правила автоматизации)""",Пользователь выбирает триггер Изменение стадии лида,в условиях доступны поля Воронка и Стадия воронки,tc-5272210-2
Действие отложенного сообщения,"""[Story] - Отложенное сообщение в чат контакта по стадии воронки (правила автоматизации)""",Пользователь выбирает триггер Изменение стадии лида,в действиях доступно Отложенное сообщение в чат контакта,tc-5272210-3
Поля действия отложенного сообщения,"""[Story] - Отложенное сообщение в чат контакта по стадии воронки (правила автоматизации)""",Пользователь выбирает действие Отложенное сообщение в чат контакта,"доступны поля текст сообщения, задержка в днях и задержка в часах",tc-5272210-4
Отправка по задержке при одном канале,"""[Story] - Отложенное сообщение в чат контакта по стадии воронки (правила автоматизации)""","Активное правило: тип Лид, триггер Изменение стадии лида, условия воронка A и стадия X, действие текст T, задержка 2 часа; у контакта лида один канал с исходящими; лид переводят на стадию X в воронке A",через 2 часа отложенное сообщение T отправляется в чат контакта,tc-5272210-5
Отправитель — ответственный по лиду,"""[Story] - Отложенное сообщение в чат контакта по стадии воронки (правила автоматизации)""",Активное правило с задержкой 2 часа; у контакта лида один канал с исходящими; лид переводят на целевую стадию,отложенное сообщение отправляется от имени ответственного по лиду на момент срабатывания,tc-5272210-6
Канал по последней переписке,"""[Story] - Отложенное сообщение в чат контакта по стадии воронки (правила автоматизации)""","Активное правило с задержкой; у контакта лида несколько каналов с исходящими, последняя переписка в WhatsApp; лид переводят на целевую стадию",отложенное сообщение планируется в чат контакта по каналу WhatsApp,tc-5272210-7
Сообщение в чате контакта,"""[Story] - Отложенное сообщение в чат контакта по стадии воронки (правила автоматизации)""",Активное правило с задержкой 2 часа; лид переводят на целевую стадию,по истечении задержки отправленное сообщение видно в чате контакта,tc-5272210-8
Сообщение в диалоге лида,"""[Story] - Отложенное сообщение в чат контакта по стадии воронки (правила автоматизации)""",Активное правило с задержкой 2 часа; лид переводят на целевую стадию,по истечении задержки отправленное сообщение видно в диалоге лида,tc-5272210-9
Нет прав — сообщение не создаётся,"""[Story] - Отложенное сообщение в чат контакта по стадии воронки (правила автоматизации)""",Активное правило с задержкой; ответственный по лиду не имеет прав на исходящее сообщение контакту по каналу действия; лид переводят на целевую стадию,отложенное сообщение не создаётся,tc-5272210-10
Смена стадии не отменяет сообщение,"""[Story] - Отложенное сообщение в чат контакта по стадии воронки (правила автоматизации)""",Отложенное сообщение запланировано правилом; лид переводят на другую стадию до истечения задержки,запланированное сообщение не отменяется,tc-5272210-11
Выключение правила не отменяет ожидающее,"""[Story] - Отложенное сообщение в чат контакта по стадии воронки (правила автоматизации)""",Отложенное сообщение запланировано правилом; администратор выключает правило до истечения задержки,запланированное сообщение не отменяется,tc-5272210-12
Выключение правила блокирует новые,"""[Story] - Отложенное сообщение в чат контакта по стадии воронки (правила автоматизации)""",Активное правило с задержкой; отложенное сообщение уже запланировано; администратор выключает правило,новые отложенные сообщения этим правилом не планируются,tc-5272210-13
Повторный вход на стадию,"""[Story] - Отложенное сообщение в чат контакта по стадии воронки (правила автоматизации)""","Правило с условием воронка A, стадия X активно; лид уходит со стадии X и снова переходит на стадию X в воронке A",планируется новое отложенное сообщение по актуальным настройкам правила,tc-5272210-14
Изменение правила для нового срабатывания,"""[Story] - Отложенное сообщение в чат контакта по стадии воронки (правила автоматизации)""",Активное правило с текстом T1 и задержкой 2 часа; отложенное сообщение запланировано; администратор меняет текст на T2 и задержку на 1 час; лид снова переходит на целевую стадию,планируется сообщение с текстом T2 и задержкой 1 час,tc-5272210-15
Без backfill для лидов на стадии,"""[Story] - Отложенное сообщение в чат контакта по стадии воронки (правила автоматизации)""",Лиды уже находятся на стадии X в воронке A; администратор создаёт и включает правило для воронки A и стадии X с задержкой; лиды не переводят на другую стадию,отложенные сообщения для этих лидов не планируются,tc-5272210-16
Срабатывание при создании на стадии,"""[Story] - Отложенное сообщение в чат контакта по стадии воронки (правила автоматизации)""","Правило с условием воронка A, стадия X активно; лид создаётся сразу на стадии X в воронке A",отложенное сообщение планируется,tc-5272210-17
Доступ к правилам автоматизации,"""[Story] - Отложенное сообщение в чат контакта по стадии воронки (правила автоматизации)""",Пользователь с правами управления правилами автоматизации в workspace открывает настройки workspace,раздел Правила автоматизации доступен,tc-5272210-18
